League,Owner,Team,Purchase Price,Year acquired,Net Worth,Team Value,Operating Income,Ownership type,Stadium Cost,Year Stadium Built,Taxpayer help,Last renovation,Renovation cost,Did owner pay for stadium construction? ,Did owner pay for renovation? ,Inherit team? 
NFL,Shahid Khan,Jacksonville Jaguars,760000000,2012,8500000000,3475000000,113700000,Single,121000000,1995,Yes,"$2,016","$90,000,000",No,Yes,
NFL,Clark Hunt,Kansas City Chiefs,25000,2006,15300000000,3700000000,118800000,Single,43000000,1972,Yes,"$2,010","$375,000,000",No,Yes,Yes
NFL,Mark Davis,Las Vegas Raiders,,2011,500000000,5100000000,116500000,Single,1800000000,2020,Yes,,,Yes,,Yes
NFL,Dean Spanos,Los Angeles Chargers,72000000,2018,2400000000,3875000000,155700000,Single,0,2020,No,,,Yes,,Yes
NFL,Stan Kroenke,Los Angeles Rams,750000000,2010,10700000000,6200000000,203100000,Single,5000000000,2020,No,,,Yes,,No
NFL,Stephen M. Ross,Miami Dolphins,1000000000,2008,8300000000,4600000000,160200000,Single,115000000,1987,No,"$2,015","$500,000,000",No,Yes,No
NFL,Zygi Wilf,Minnesota Vikings,600000000,2005,1300000000,3900000000,140900000,Single,1100000000,2016,Yes,,,Yes,,No
NFL,Robert Kraft,New England Patriots,175000000,1994,8300000000,6400000000,230500000,Single,325000000,2002,No,,,Yes,,No
NFL,Gayle Benson,New Orleans Saints,64000000,2018,3800000000,3575000000,125200000,Single,134000000,1975,Yes,"$2,011","$224,000,000",No,No,Yes
NFL,John Mara & Steve Tisch,New York Giants,500,2005,1700000000,6000000000,177900000,Couple,800000000,2010,No,,,Yes,,Yes
NFL,Robert Wood Johnson & Christopher Johnson ,New York Jets,635000000,2000,6300000000,5700000000,135800000,Couple,800000000,2010,No,,,Yes,,No
